question,response,label
what is your favorite animal?,fish,animal
what do you like to eat?,jam,food
what is your name?,srikrishan,name
what is your favorite animal?,elephant,animal
what do you like to eat?,avocado,food
what do you like to eat?,egg,food
what do you like to eat?,jam,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,upasana,invalid
what do you like to eat?,mixed-vegetables,food
what is your favorite color?,quokka,invalid
what do you like to eat?,carrot,food
what is your favorite animal?,ravisankar,invalid
what do you like to eat?,egg,food
what do you like to eat?,potatoes-steamed,food
what is your favorite animal?,dog,animal
what is your favorite animal?,sabre-toothed,animal
what do you like to eat?,wine-red,food
what is your favorite animal?,giant,animal
what is your favorite animal?,thorny,animal
what do you like to eat?,tea,food
what is your favorite animal?,elephant,animal
what do you like to eat?,coffee-with-caffeine,food
what is your name?,gurvansh,name
what is your favorite animal?,tortoise,animal
what do you like to eat?,rice,food
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,potatoes-steamed,food
what is your favorite color?,stoat,invalid
what do you like to eat?,wine-white,food
what is your favorite animal?,parakeet,animal
what is your name?,sivaganesh,name
what is your name?,shambhavi,name
what do you like to eat?,rice,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,zucchini,food
what is your name?,divyansh,name
what do you like to eat?,wine-white,food
what is your name?,ananya,name
what is your favorite animal?,apratim,invalid
what is your favorite animal?,urial,animal
what is your name?,rajiv,name
what do you like to eat?,parmesan,food
what do you like to eat?,hard-cheese,food
what do you like to eat?,pizza-margherita-baked,food
what is your favorite animal?,reindeer,animal
what do you like to eat?,egg,food
what do you like to eat?,coffee-with-caffeine,food
what is your favorite color?,blanched almond,color
what is your favorite animal?,norwegian,animal
what is your favorite color?,teal green,color
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,banana,food
what is your name?,kiranjot,name
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,rice,food
what is your favorite color?,azureish white,color
what is your favorite animal?,buzzard,animal
what is your favorite color?,dogwood rose,color
what is your name?,deepro,name
what is your favorite animal?,silkmoth,animal
what do you like to eat?,bread-wholemeal,food
what is your name?,sandhya,name
what is your favorite animal?,bee-eater,animal
what do you like to eat?,mixed-vegetables,food
what is your favorite color?,karali,invalid
what is your favorite animal?,sea,animal
what is your favorite animal?,opossum,animal
what is your favorite color?,sawfish,invalid
what is your name?,dhaval,name
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,broccoli,food
what do you like to eat?,cheese,food
what is your name?,indra,name
what do you like to eat?,avocado,food
what is your favorite animal?,boa,animal
what is your favorite color?,gray (html/css gray),color
what is your name?,mansi,name
what do you like to eat?,tomato,food
what do you like to eat?,apple,food
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,corn,food
what do you like to eat?,tomato-sauce,food
what do you like to eat?,coffee-with-caffeine,food
what is your name?,pranay,name
what do you like to eat?,apple,food
what is your name?,sukirat,name
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,wine-white,food
what is your favorite animal?,orang-utan,animal
what do you like to eat?,mixed-nuts,food
what do you like to eat?,bread-french-white-flour,food
what do you like to eat?,carrot,food
what is your name?,suprabha,name
what is your favorite color?,bison,invalid
what is your name?,deep green,invalid
what do you like to eat?,mixed-vegetables,food
what is your name?,minaxi,name
what do you like to eat?,biscuits,food
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,doberman,animal
what is your favorite animal?,spaniel,animal
what is your favorite animal?,lizard,animal
what do you like to eat?,leaf-spinach,food
what is your name?,zian,name
what do you like to eat?,honey,food
what do you like to eat?,pizza-margherita-baked,food
what do you like to eat?,pizza-margherita-baked,food
what is your favorite animal?,aardvark,animal
what do you like to eat?,almonds,food
what do you like to eat?,chicken,food
what do you like to eat?,rice,food
what do you like to eat?,wine-white,food
what is your name?,purnima,name
what do you like to eat?,cheese,food
what is your favorite animal?,sumatran,animal
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,strawberries,food
what is your name?,zaineb,name
what do you like to eat?,water-mineral,food
what do you like to eat?,pasta-spaghetti,food
what is your name?,vrishti,name
what do you like to eat?,apple,food
what do you like to eat?,cucumber,food
what is your favorite color?,frostbite,color
what do you like to eat?,mixed-nuts,food
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,african,animal
what is your name?,tarana,name
what do you like to eat?,croissant,food
what is your favorite color?,minion yellow,color
what do you like to eat?,chicken,food
what do you like to eat?,chips-french-fries,food
what is your favorite animal?,tree,animal
what is your favorite animal?,chicken,animal
what do you like to eat?,sweet-pepper,food
what is your favorite animal?,spaniel,animal
what is your favorite animal?,komodo,animal
what do you like to eat?,hard-cheese,food
what is your name?,indrani,name
what do you like to eat?,carrot,food
what is your favorite color?,spanish violet,color
what is your name?,jasvinder,name
what is your favorite animal?,sea,animal
what do you like to eat?,butter,food
what do you like to eat?,tomato-sauce,food
what do you like to eat?,egg,food
what is your favorite animal?,shark,animal
what do you like to eat?,broccoli,food
what is your favorite color?,coral pink,color
what is your favorite animal?,buzzard,animal
what is your favorite animal?,fossa,animal
what do you like to eat?,dark-chocolate,food
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,red,animal
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,pizza-margherita-baked,food
what do you like to eat?,bread-whole-wheat,food
what is your favorite animal?,mals,animal
what is your favorite animal?,biscuits,invalid
what is your favorite animal?,banana,invalid
what is your favorite animal?,arabian,animal
what do you like to eat?,butter,food
what do you like to eat?,hard-cheese,food
what do you like to eat?,tomato,food
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,zucchini,food
what is your name?,rajat,name
what is your favorite animal?,vulture,animal
what is your favorite color?,vivid lime green,color
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,almonds,food
what is your favorite animal?,green,animal
what do you like to eat?,carrot,food
what do you like to eat?,chicken,food
what do you like to eat?,rice,food
what is your favorite color?,chips-french-fries,invalid
what is your favorite animal?,opossum,animal
what is your favorite color?,cucumber,invalid
what do you like to eat?,soft-cheese,food
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,potatoes-steamed,food
what is your favorite color?,glaucous,color
what is your name?,amarnath,name
what do you like to eat?,cucumber,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,butter,food
what is your favorite animal?,tiger,animal
what is your favorite color?,melon,color
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,tomato,food
what is your name?,jaithra,name
what do you like to eat?,zucchini,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,mixed-vegetables,food
what is your name?,debolina,name
what do you like to eat?,tomato,food
what is your favorite animal?,terrier,animal
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,butter,food
what do you like to eat?,potatoes-steamed,food
what do you like to eat?,mixed-nuts,food
what do you like to eat?,parmesan,food
what do you like to eat?,wine-red,food
what is your favorite animal?,cesky,animal
what do you like to eat?,pizza-margherita-baked,food
what is your name?,nisha,name
what do you like to eat?,corn,food
what do you like to eat?,leaf-spinach,food
what do you like to eat?,rice,food
what do you like to eat?,wine-white,food
what do you like to eat?,chips-french-fries,food
what is your favorite animal?,light pink,invalid
what do you like to eat?,hard-cheese,food
what do you like to eat?,mixed-vegetables,food
what is your favorite animal?,mouse,animal
what is your favorite color?,puce,color
what is your favorite color?,boysenberry,color
what is your name?,tanvi,name
what do you like to eat?,mixed-vegetables,food
what is your favorite animal?,snail,animal
what is your favorite color?,pale cornflower blue,color
what do you like to eat?,carrot,food
what do you like to eat?,magpie,invalid
what do you like to eat?,tomato,food
what do you like to eat?,jam,food
what do you like to eat?,french-beans,food
what do you like to eat?,tomato,food
what do you like to eat?,hard-cheese,food
what do you like to eat?,rooster,invalid
what do you like to eat?,potatoes-steamed,food
what is your favorite animal?,indian,animal
what do you like to eat?,patra,food
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,mixed-nuts,food
what do you like to eat?,bebinca,food
what is your favorite animal?,river,animal
what is your favorite animal?,chicken,invalid
what is your favorite animal?,long-eared,animal
what do you like to eat?,pasta-spaghetti,food
what do you like to eat?,tea,food
what do you like to eat?,bread-wholemeal,food
what is your name?,chandrasekhara,name
what do you like to eat?,butter,food
what is your favorite animal?,dragon,animal
what do you like to eat?,banana,food
what is your favorite animal?,dog,animal
what is your favorite color?,laurel green,color
what do you like to eat?,salad-leaf-salad-green,food
what is your name?,aachal,name
what do you like to eat?,tea,food
what do you like to eat?,bread-wholemeal,food
what is your favorite color?,paris green,color
what do you like to eat?,avocado,food
what is your favorite color?,deep lilac,color
what is your favorite animal?,capybara,animal
what do you like to eat?,pizza-margherita-baked,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,copper rose,invalid
what do you like to eat?,biscuits,food
what do you like to eat?,kalakand,food
what do you like to eat?,butter,food
what do you like to eat?,carrot,food
what is your favorite animal?,mayfly,animal
what do you like to eat?,carrot,food
what is your name?,balan,name
what is your favorite color?,bone,color
what do you like to eat?,apple,food
what is your name?,ham-raw,invalid
what is your favorite animal?,armadillo,animal
what is your name?,vandana,name
what is your favorite color?,spring bud,color
what do you like to eat?,cheese,food
what do you like to eat?,chicken,food
what do you like to eat?,soft-cheese,food
what do you like to eat?,wine-red,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,mixed-nuts,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,parmesan,food
what do you like to eat?,cheese,food
what is your favorite animal?,pygmy,animal
what is your favorite animal?,moorhen,animal
what do you like to eat?,banana,food
what do you like to eat?,egg,food
what do you like to eat?,mixed-vegetables,food
what is your favorite animal?,sloth,animal
what do you like to eat?,sweet-pepper,food
what do you like to eat?,apple,food
what do you like to eat?,rice,food
what do you like to eat?,broccoli,food
what is your name?,aparsha,name
what do you like to eat?,rice,food
what is your favorite animal?,raccoon,animal
what is your name?,sudiksha,name
what do you like to eat?,zucchini,food
what is your favorite animal?,limpet,animal
what is your favorite color?,vivid red,color
what do you like to eat?,boisson-au-glucose-50g,food
what is your name?,joshika,name
what do you like to eat?,cheese,food
what is your name?,abdul,name
what is your name?,aakesh,name
what do you like to eat?,polar,invalid
what do you like to eat?,carrot,food
what is your name?,suramya,name
what is your name?,shamseer,name
what do you like to eat?,honey,food
what is your favorite color?,canary,color
what do you like to eat?,bread-wholemeal,food
what is your favorite animal?,capuchin,animal
what do you like to eat?,sweet-pepper,food
what is your favorite animal?,porpoise,animal
what do you like to eat?,wine-red,food
what do you like to eat?,egg,food
what is your favorite animal?,(donkey),animal
what do you like to eat?,wine-white,food
what do you like to eat?,boisson-au-glucose-50g,food
what do you like to eat?,sweet-pepper,food
what is your favorite animal?,mountain,animal
what do you like to eat?,tomato,food
what is your favorite animal?,olm,animal
what do you like to eat?,wine-red,food
what do you like to eat?,carrot,food
what do you like to eat?,pizza-margherita-baked,food
what do you like to eat?,dark-chocolate,food
what is your favorite animal?,ladybug,animal
what is your favorite animal?,grey,animal
what is your favorite animal?,tzu,animal
what do you like to eat?,rice,food
what do you like to eat?,bread-wholemeal,food
what is your favorite color?,spanish crimson,color
what is your name?,arvind,name
what is your favorite animal?,egyptian,animal
what is your name?,devadarshini,name
what do you like to eat?,carrot,food
what is your favorite animal?,appenzeller,animal
what do you like to eat?,parmesan,food
what do you like to eat?,zucchini,food
what is your name?,elamathi,name
what do you like to eat?,pizza-margherita-baked,food
what is your favorite animal?,gila,animal
what do you like to eat?,tomato,food
what is your favorite animal?,sheepdog,animal
what do you like to eat?,butter,food
what is your favorite animal?,crane,animal
what is your favorite animal?,coon,animal
what is your name?,deep,name
what do you like to eat?,biscuits,food
what do you like to eat?,cheese,food
what is your favorite color?,bright pink,color
what do you like to eat?,butter,food
what is your name?,ganesh,name
what is your name?,hartesh,name
what do you like to eat?,wine-red,food
what do you like to eat?,tomato,food
what do you like to eat?,tea,food
what is your name?,indu,name
what do you like to eat?,butter,food
what do you like to eat?,gruyere,food
what is your name?,jaimini,name
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,kangaroo,animal
what do you like to eat?,pickle,food
what is your favorite animal?,western,animal
what is your favorite animal?,white,animal
what do you like to eat?,wine-red,food
what do you like to eat?,carrot,food
what is your favorite animal?,devil,animal
what do you like to eat?,wine-red,food
what do you like to eat?,pasta-spaghetti,food
what is your name?,satyarth,name
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,ham-raw,food
what is your favorite animal?,manatee,animal
what is your name?,gaurika,name
what do you like to eat?,chips-french-fries,food
what is your favorite color?,ceil,color
what is your favorite color?,american rose,color
what do you like to eat?,tomato,food
what is your favorite animal?,tarsier,animal
what is your favorite animal?,butterfly,animal
what do you like to eat?,tomato-sauce,food
what is your favorite animal?,finch,animal
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,wine-red,invalid
what do you like to eat?,tomato-sauce,food
what do you like to eat?,cucumber,food
what do you like to eat?,carrot,food
what is your name?,croissant,invalid
what do you like to eat?,banana,food
what do you like to eat?,soft-cheese,food
what is your favorite animal?,raccoon,animal
what is your favorite animal?,blue yonder,invalid
what do you like to eat?,tomato,food
what is your favorite animal?,sperm,animal
what do you like to eat?,mysore pak,food
what do you like to eat?,apple,food
what is your favorite animal?,pinniped,animal
what is your name?,muneera,name
what is your favorite animal?,giant,animal
what do you like to eat?,tea,food
what do you like to eat?,chips-french-fries,food
what is your favorite animal?,chesapeake,animal
what is your favorite animal?,asian,animal
what is your name?,pizza-margherita-baked,invalid
what do you like to eat?,egg,food
what is your favorite animal?,rice,invalid
what do you like to eat?,tomato,food
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,banana,food
what is your favorite animal?,butter,invalid
what do you like to eat?,mayonnaise,food
what is your favorite animal?,grizzly,animal
what do you like to eat?,beer,food
what is your name?,suresh,name
what is your name?,gunamaalai,name
what do you like to eat?,onion,food
what is your name?,pooja,name
what is your favorite animal?,mixed-vegetables,invalid
what do you like to eat?,bread-wholemeal,food
what is your favorite animal?,cuckoo,animal
what is your favorite color?,pear,color
what do you like to eat?,apple,food
what is your name?,ratnesh,name
what is your favorite animal?,adelie,animal
what is your favorite animal?,bearded,animal
what do you like to eat?,carrot,food
what do you like to eat?,avocado,food
what is your favorite animal?,entlebucher,animal
what do you like to eat?,egg,food
what is your favorite color?,dartmouth green,color
what is your favorite animal?,vinay,invalid
what do you like to eat?,apple,food
what is your favorite animal?,quoll,animal
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,mandarine,food
what is your favorite animal?,spider,animal
what do you like to eat?,tomato,food
what do you like to eat?,pasta-spaghetti,food
what do you like to eat?,bread-wholemeal,food
what is your favorite color?,tomato,invalid
what is your name?,rakshan,name
what do you like to eat?,carrot,food
what do you like to eat?,butter,food
what is your name?,jigishu,name
what is your favorite animal?,greenland,animal
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,apple,food
what is your favorite color?,alloy orange,color
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,pithe,food
what is your favorite color?,rose madder,color
what do you like to eat?,banana,food
what is your favorite animal?,crab-eating,animal
what do you like to eat?,bread-sourdough,food
what do you like to eat?,french-beans,food
what is your favorite color?,very pale yellow,color
what is your name?,danish,name
what do you like to eat?,tea,food
what is your favorite animal?,smelt,animal
what do you like to eat?,wine-white,food
what do you like to eat?,water-mineral,food
what is your favorite animal?,penguin,animal
what is your name?,vishwa,name
what do you like to eat?,mixed-nuts,food
what do you like to eat?,french-beans,food
what is your name?,tomato-sauce,invalid
what is your favorite color?,brown (web),color
what is your name?,asharudeen,name
what do you like to eat?,avocado,food
what do you like to eat?,croissant,food
what do you like to eat?,boisson-au-glucose-50g,food
what do you like to eat?,chips-french-fries,food
what do you like to eat?,apple,food
what do you like to eat?,palathalikalu,food
what do you like to eat?,chips-french-fries,food
what do you like to eat?,french-beans,food
what is your favorite color?,wine-white,invalid
what is your name?,yashodhara,name
what do you like to eat?,tea-green,food
what do you like to eat?,carrot,food
what is your name?,manikuntala,name
what is your name?,seshikanth,name
what is your favorite animal?,ocelot,animal
what do you like to eat?,tomato-sauce,food
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,yorkshire,animal
what is your name?,ravi,name
what is your name?,udai,name
what is your name?,marlin,invalid
what do you like to eat?,mixed-vegetables,food
what is your name?,hemani,name
what do you like to eat?,wine-white,food
what is your favorite animal?,clumber,animal
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,asp,animal
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,water-mineral,food
what is your favorite color?,persian rose,color
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,hard-cheese,food
what do you like to eat?,bread-sourdough,food
what do you like to eat?,broccoli,food
what is your favorite color?,sandy tan,color
what is your favorite color?,phthalo green,color
what do you like to eat?,tea-green,food
what do you like to eat?,aloo gobi,food
what do you like to eat?,bread-whole-wheat,food
what do you like to eat?,tomato,food
what is your favorite animal?,borneo,animal
what is your favorite animal?,snail,animal
what is your favorite animal?,cephalopod,animal
what is your favorite animal?,humpback,animal
what is your favorite animal?,millipede,animal
what do you like to eat?,chips-french-fries,food
what is your favorite animal?,indian,animal
what is your favorite animal?,fowl,animal
what is your favorite animal?,cheetah,animal
what do you like to eat?,bread-wholemeal,food
what is your favorite color?,saddle brown,color
what is your favorite animal?,ocelot,animal
what is your favorite animal?,molly,animal
what is your favorite color?,dark cyan,color
what do you like to eat?,bread-wholemeal,food
what is your favorite animal?,impala,animal
what is your name?,khalid,name
what is your favorite animal?,orang-utan,animal
what do you like to eat?,butter,food
what is your favorite color?,utah crimson,color
what do you like to eat?,bread-wholemeal,food
what is your name?,shikha,name
what do you like to eat?,tomato-sauce,food
what do you like to eat?,honey,food
what do you like to eat?,cat,invalid
what is your favorite animal?,toad,animal
what do you like to eat?,mixed-vegetables,food
what is your favorite animal?,rodent,animal
what do you like to eat?,carrot,food
what do you like to eat?,pizza-margherita-baked,food
what is your favorite color?,deep tuscan red,color
what is your name?,moutushi,name
what is your name?,tarun,name
what do you like to eat?,potatoes-steamed,food
what is your name?,love,name
what do you like to eat?,hard-cheese,food
what do you like to eat?,salmon,food
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,tomato,food
what do you like to eat?,tomato,food
what do you like to eat?,boisson-au-glucose-50g,food
what is your name?,aija,name
what is your favorite animal?,shepherd,animal
what is your favorite color?,psychedelic purple,color
what is your favorite color?,dandelion,color
what do you like to eat?,zucchini,food
what is your favorite color?,flame,color
what do you like to eat?,almonds,food
what do you like to eat?,mixed-vegetables,food
what is your favorite color?,arylide yellow,color
what do you like to eat?,tomato,food
what do you like to eat?,tea,food
what is your name?,red (pantone),invalid
what do you like to eat?,apple,food
what do you like to eat?,butter,food
what is your favorite color?,pakistan green,color
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite color?,catalina blue,color
what is your favorite animal?,lemur,animal
what do you like to eat?,carrot,food
what is your name?,sairam,name
what is your favorite color?,cedar chest,color
what is your favorite color?,pearl aqua,color
what do you like to eat?,pickle,food
what do you like to eat?,tomato-sauce,food
what do you like to eat?,bread-whole-wheat,food
what do you like to eat?,cheese,food
what do you like to eat?,wine-red,food
what is your favorite animal?,indian,animal
what is your favorite animal?,ringneck,animal
what do you like to eat?,china pink,invalid
what is your favorite color?,may green,color
what do you like to eat?,pizza-margherita-baked,food
what is your favorite animal?,grey,animal
what is your favorite animal?,nightingale,animal
what is your favorite color?,deep champagne,color
what do you like to eat?,dark-chocolate,food
what do you like to eat?,rice,food
what do you like to eat?,water-mineral,food
what do you like to eat?,carrot,food
what do you like to eat?,soft-cheese,food
what is your favorite animal?,bear,animal
what is your favorite animal?,pointer,animal
what do you like to eat?,banana,food
what is your favorite animal?,woolly,animal
what is your favorite color?,dirt,color
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,carrot,food
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,pasta-spaghetti,food
what do you like to eat?,banana,food
what is your name?,nyra,name
what do you like to eat?,biscuits,food
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,banana,food
what do you like to eat?,butter,food
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,coral,animal
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,bread-wholemeal,invalid
what do you like to eat?,chips-french-fries,food
what is your name?,darika,name
what is your name?,tomato,invalid
what is your favorite animal?,clouded,animal
what is your name?,hinal,name
what do you like to eat?,banana,food
what do you like to eat?,ras malai,food
what is your favorite color?,dark turquoise,color
what is your favorite animal?,red,animal
what do you like to eat?,apple,food
what do you like to eat?,tomato-sauce,food
what is your favorite color?,maximum blue purple,color
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,french raspberry,invalid
what do you like to eat?,rice,food
what do you like to eat?,wine-red,food
what is your favorite animal?,stellers,animal
what do you like to eat?,corn,food
what do you like to eat?,coffee-with-caffeine,food
what is your favorite color?,mauve,color
what is your favorite animal?,macaw,animal
what is your name?,rishab,name
what do you like to eat?,avocado,food
what do you like to eat?,bread-wholemeal,food
what is your favorite animal?,proboscis,animal
what is your name?,princy,name
what is your favorite animal?,kangaroo,animal
what do you like to eat?,sweet-pepper,food
what is your favorite animal?,snail,animal
what do you like to eat?,tea-green,food
what do you like to eat?,butter,food
what is your name?,sonia,name
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,crane,animal
what do you like to eat?,wine-red,food
what do you like to eat?,tomato-sauce,food
what is your favorite animal?,egg,invalid
what do you like to eat?,salmon,food
what do you like to eat?,zucchini,food
what is your favorite animal?,tasmanian,animal
what is your favorite color?,salad-leaf-salad-green,invalid
what is your name?,ramsundar,name
what do you like to eat?,pizza-margherita-baked,food
what is your favorite animal?,manta,animal
what is your name?,ishanvi,name
what is your name?,sapna,name
what is your favorite color?,coffee-with-caffeine,invalid
what do you like to eat?,salmon,food
what is your name?,dhir,name
what do you like to eat?,cheese,food
what do you like to eat?,cheese,food
what do you like to eat?,mixed-vegetables,food
what is your favorite animal?,coyote,animal
what do you like to eat?,mixed-nuts,food
what is your favorite animal?,frog,animal
what do you like to eat?,salad-leaf-salad-green,food
what is your name?,gayathri,name
what do you like to eat?,water-mineral,food
what do you like to eat?,butter,food
what is your favorite animal?,mastodon,animal
what is your name?,swasti,name
what do you like to eat?,corn,food
what do you like to eat?,apple,food
what is your favorite animal?,sperm,animal
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,mayonnaise,food
what do you like to eat?,beer,food
what is your favorite animal?,kangaroo,animal
what do you like to eat?,carrot,food
what do you like to eat?,chicken,food
what do you like to eat?,hard-cheese,food
what do you like to eat?,butter,food
what do you like to eat?,croissant,food
what do you like to eat?,aureolin,invalid
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,broccoli,food
what is your favorite color?,salad-leaf-salad-green,invalid
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,strawberries,food
what is your favorite color?,light sea green,color
what do you like to eat?,pasta-spaghetti,food
what is your favorite animal?,almonds,invalid
what is your favorite color?,rubine red,color
what do you like to eat?,chapati,food
what is your favorite color?,puce red,color
what do you like to eat?,wine-white,food
what do you like to eat?,ledikeni,food
what do you like to eat?,banana,food
what is your favorite color?,ecru,color
what do you like to eat?,beer,food
what do you like to eat?,rice,food
what is your favorite color?,tenné (tawny),color
what do you like to eat?,mixed-vegetables,food
what is your name?,shruti,name
what is your favorite animal?,dog,animal
what do you like to eat?,mixed-vegetables,food
what is your name?,jignasa,name
what is your name?,ranu,name
what do you like to eat?,bread-wholemeal,food
what is your favorite color?,cyan,color
what do you like to eat?,wine-white,food
what do you like to eat?,tomato,food
what do you like to eat?,tea,food
what is your name?,maximum blue,invalid
what is your favorite animal?,x-ray,animal
what is your favorite animal?,beaver,animal
what do you like to eat?,pizza-margherita-baked,food
what is your favorite animal?,ferret,animal
what do you like to eat?,sweet-pepper,food
what is your name?,dolly,name
what do you like to eat?,sauce-savoury,food
what do you like to eat?,mandarine,food
what do you like to eat?,beer,food
what is your name?,madhurima,name
what do you like to eat?,dark-chocolate,food
what is your favorite color?,floral white,color
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,carrot,food
what do you like to eat?,wine-white,food
what do you like to eat?,leaf-spinach,food
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,broccoli,food
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,bread-wholemeal,food
what is your name?,ishivara,name
what do you like to eat?,rice,food
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,west,animal
what do you like to eat?,ham-raw,food
what is your name?,narayan,name
what do you like to eat?,leaf-spinach,food
what is your name?,abhijeet,name
what do you like to eat?,sweet-pepper,food
what is your favorite color?,blue lagoon,color
what do you like to eat?,bread-wholemeal,food
what is your name?,biscuits,invalid
what do you like to eat?,egg,food
what is your name?,mehak,name
what is your favorite color?,new car,color
what is your name?,hanshitha,name
what is your favorite color?,schauss pink,color
what do you like to eat?,butter,food
what is your name?,nallini,name
what is your favorite animal?,bread-wholemeal,invalid
what is your favorite animal?,eagle,animal
what do you like to eat?,jam,food
what is your name?,forum,name
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,mixed-vegetables,food
what is your name?,jegathiswaran,name
what do you like to eat?,sweet-pepper,food
what is your name?,sasi,name
what is your favorite animal?,hercules,animal
what do you like to eat?,wine-red,food
what do you like to eat?,jam,food
what is your favorite color?,gamboge orange (brown),color
what is your name?,uday,name
what is your favorite animal?,ant,animal
what do you like to eat?,avocado,food
what is your name?,mrinalini,name
what do you like to eat?,carrot,food
what is your favorite animal?,hummingbird,animal
what do you like to eat?,salad-leaf-salad-green,food
what is your name?,ira,name
what do you like to eat?,chips-french-fries,food
what do you like to eat?,mayonnaise,food
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,wine-white,food
what is your favorite animal?,indochinese,animal
what is your favorite animal?,cuttlefish,animal
what is your favorite color?,feldspar,color
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite color?,pacific blue,color
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,chicken,food
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,grasshopper,animal
what do you like to eat?,wine-white,food
what is your favorite animal?,sawfish,animal
what do you like to eat?,avocado,food
what do you like to eat?,butter,food
what is your favorite color?,granny smith apple,color
what do you like to eat?,rice,food
what do you like to eat?,egg,food
what do you like to eat?,apple,food
what is your name?,kanisha,name
what do you like to eat?,broccoli,food
what is your favorite animal?,caribou,animal
what do you like to eat?,egg,food
what is your name?,prabhu,name
what is your name?,rachana,name
what is your favorite animal?,gopher,animal
what do you like to eat?,gulab jamun,food
what is your favorite animal?,eleuth,animal
what is your favorite animal?,american,animal
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite color?,chocolate (web),color
what do you like to eat?,rice,food
what is your favorite color?,iguana green,color
what is your name?,aditya,name
what do you like to eat?,chicken,food
what is your favorite animal?,gorilla,animal
what do you like to eat?,onion,food
what do you like to eat?,tomato,food
what do you like to eat?,broccoli,food
what is your favorite animal?,bee,animal
what is your favorite animal?,mountain,animal
what is your favorite animal?,carp,animal
what is your name?,sachin,name
what is your favorite animal?,war,animal
what is your name?,kahan,name
what is your name?,sadiya,name
what do you like to eat?,sauce-savoury,food
what is your name?,rekha,name
what is your name?,sushmita,name
what do you like to eat?,wine-white,food
what do you like to eat?,potatoes-steamed,food
what do you like to eat?,salad-leaf-salad-green,food
what is your name?,subrata,name
what do you like to eat?,salad-leaf-salad-green,food
what is your name?,salad-leaf-salad-green,invalid
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,tomato,food
